time,open,high,low,close,Volume,Volume MA
1577059200,7517.5525,7690.6175,7260.5125,7316.8825,30638.74343217,19553.209149128317
1577145600,7314.635,7425.9475,7157.395,7255.145,17425.61855089,18692.74658006782
1577232000,7254.5575,7267.4325,7116.2075,7193.1525,8402.29571404,18072.67209676332
1577318400,7195.345,7430.7475,7148.75,7193.44,15181.48253414,17876.497263572317
1577404800,7195.47,7254.4375,7025.6275,7244.9725,17807.2360382,18302.631097990317
1577491200,7247.5725,7348.7225,7234.3375,7299.9275,9160.2914772,18340.99777682082
1577577600,7301.05,7527.195,7277.225,7387.9625,12463.82136798,17739.13790527982
1577664000,7382.7925,7386.2475,7199.7425,7216.0525,15516.82207196,17724.86743994082
1577750400,7218.3875,7300.53,7112.1425,7167.07,12888.2654446,17722.135065996823
1577836800,7164.9025,7235.535,7145.6625,7175.6525,7036.28397705,17174.343303280322
1577923200,7174.665,7185.8925,6904.755,6945.695,17024.72648273,17385.704022911323
1578009600,6944.76,7399.7025,6857.05,7335.29,31516.58286455,18483.116593307823
1578096000,7333.66,7396.225,7259.47,7349.0325,11314.22794697,18580.641671576323
1578182400,7351.925,7491.835,7309.2125,7352.6925,12100.42779693,17909.729158809823
1578268800,7351.62,7807.485,7343.53,7761.8475,25540.08785652,17740.591171786324
1578355200,7765.255,8224.625,7721.1575,8159.0075,44275.21887093,17507.276681471325
1578441600,8156.165,8465.065,7865.775,8043.8175,49832.02728398,18863.992380342825
1578528000,8045.23,8045.56,7747.2275,7814.6425,22514.39592456,19325.904123196826
1578614400,7816.1475,8197.6675,7670.075,8195.22,31508.38261265,20564.334422955326
1578700800,8196.1075,8293.1275,7999.8275,8021.475,16696.568507,20442.175337752327
1578787200,8018.675,8185,7961.6125,8178.0025,8582.2427472,19339.350303503827
1578873600,8180.7775,8193.0425,8029.4375,8105.8775,15030.1483853,19219.576795224326
1578960000,8106.365,8892.4225,8106.115,8817.81,62256.19707642,21912.27186334333
1579046400,8813.425,8906.0075,8556.53,8810.445,32760.15849899,22791.205661585827
1579132800,8812.7125,8849.5325,8578.3425,8714.43,21670.05732342,22984.34672584683
1579219200,8715.7675,9009.85,8663.4725,8898.5,34178.66445008,24235.26537449083
1579305600,8899,8981.525,8804.75,8908.3325,13526.50652504,24288.399632343833
1579392000,8905.765,9187.0675,8468.4725,8700.1475,34243.21276705,25224.719167098334
1579478400,8700.5775,8734.3975,8508.0025,8627.775,14360.97879958,25298.354834847334
1579564800,8632.0475,8777.855,8439.5,8719.995,16323.81535491,25762.731403740334
1579651200,8726.565,8791.005,8568.2725,8659.8475,12226.11717489,25522.800938348333
1579737600,8662.7225,8666.545,8279.2025,8386.2825,28399.85425329,25366.96450778533
1579824000,8385.83,8514.885,8217.7925,8425.3425,20435.68314928,25823.037267900836
1579910400,8428.85,8434.2225,8254.6875,8327.83,9475.92749186,25691.812252647334
1579996800,8325.475,8597.24,8280.8175,8590.48,15818.67906946,25205.741813294335
1580083200,8596.5925,8989.5825,8557.0475,8896.025,26632.61558071,24323.61164878333
1580169600,8896.985,9414.5675,8880.3725,9398.35,36702.0364685,23667.112108009333
1580256000,9389.56,9438.0225,9222.66,9284.64,25275.38368357,23805.16149595983
1580342400,9283.5175,9569.5,9146.0125,9500.19,30361.60780515,23747.82275558483
1580428800,9505.6275,9524.215,9197.8625,9333.17,20572.20656582,23941.604658525834
1580515200,9339.8425,9457.98,9284.885,9378.7625,8119.03720461,23918.444381396333
1580601600,9379.345,9473.9525,9143.75,9324.0225,14115.00990449,23872.687457355834
1580688000,9319.475,9611.2375,9220.2675,9282.0225,22550.7928723,21887.417247149835
1580774400,9280,9346.575,9077.93,9162.5025,17683.94888573,21133.606766486835
1580860800,9165.23,9769.4,9148.205,9615.87,29536.54349733,21526.931075182332
1580947200,9619.0275,9856.5,9520.6475,9758.425,27459.4395636,21190.969830858332
